접수일자,제작사,차명,모델년도
2022-12-30,한국상용트럭(주),한국상용26톤카고트럭,2018
2022-12-30,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-30,현대자동차(주),쏘나타(SONATA),2007
2022-12-29,CZ1,메이저카니발하이리무진,2023
2022-12-30,기아주식회사,K7,2017
2022-12-30,메르세데스벤츠코리아(주),Mercedes-Benz EQB300 4MATIC,2023
2022-12-30,폭스바겐그룹코리아 주식회사,Q8 55 TFSI quattro,2022
2022-12-30,한불모터스(주),Peugeot 3008 GT 2.0 BlueHDi,2019
2022-12-30,한불모터스(주),Peugeot 3008 GT 2.0 BlueHDi,2018
2022-12-29,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-30,(주)재규어랜드로버코리아,재규어 XF 20d,2016
2022-12-30,쌍용자동차(주),토레스,2023
2022-12-30,현대자동차(주),스타리아 특수구급차(STARIA),2022
2022-12-30,메르세데스벤츠코리아(주),S560 4Matic L,2019
2022-12-30,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-29,기아주식회사,니로 하이브리드,2021
2022-12-29,한국지엠(주),크루즈 1.8 DOHC,2014
2022-12-29,기아주식회사,K7,2015
2022-12-29,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-12-29,한국지엠(주),올란도 2.0 LPG,2015
2022-12-29,르노코리아자동차 주식회사,QM6,2017
2022-12-29,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-29,현대자동차(주),팰리세이드(PALISADE),2023
2022-12-29,한불모터스(주),Peugeot 3008 1.6 BlueHDi,2018
2022-12-29,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-12-29,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-12-28,(주)재규어랜드로버코리아,디스커버리4 3.0D,2015
2022-12-29,한불모터스(주),Peugeot 5008 GT 2.0 BlueHDi,2019
2022-12-29,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-12-29,한불모터스(주),Peugeot 3008 1.5 BlueHDi,2019
2022-12-30,폭스바겐그룹코리아 주식회사,Tiguan 2.0TDI 4Motion,2022
2022-12-28,현대자동차(주),제네시스(GENESIS),2016
2022-12-28,한불모터스(주),Peugeot 5008 1.5 BlueHDi,2019
2022-12-28,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EUV,2022
2022-12-28,(주)재규어랜드로버코리아,디스커버리 SD4,2018
2022-12-28,기아주식회사,니로 EV,2022
2022-12-28,비엠더블유코리아(주),BMW 530i,2018
2022-12-27,현대자동차(주),아이오닉5(IONIQ5),2022
2022-12-28,현대자동차(주),싼타페(SANTAFE),2014
2022-12-28,기아주식회사,K7,2017
2022-12-27,폭스바겐그룹코리아 주식회사,A8L 60 TFSI quattro,2015
2022-12-28,포드세일즈서비스코리아(유),Explorer 2.3 AWD,2016
2022-12-28,기아주식회사,카니발 리무진,2017
2022-12-27,(주)재규어랜드로버코리아,레인지로버 4.4D,2014
2022-12-28,현대자동차(주),싼타페(SANTAFE),2013
2022-12-28,현대자동차(주),싼타페(SANTAFE),2022
2022-12-28,(주)재규어랜드로버코리아,레인지로버 이보크 2.0D,2016
2022-12-28,한불모터스(주),Peugeot 308 1.6 Blue-HDi,2017
2022-12-28,기아주식회사,K9,2019
2022-12-28,메르세데스벤츠코리아(주),S350 d 4Matic L,2017
2022-12-27,폭스바겐그룹코리아 주식회사,A6 45 TFSI quattro,2022
2022-12-28,비엠더블유코리아(주),BMW 530i xDrive,2018
2022-12-27,한국지엠(주),말리부 2.0 DOHC,2014
2022-12-28,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-27,스카니아코리아그룹(주),스카니아트랙터,2020
2022-12-27,기아주식회사,스팅어,2018
2022-12-27,기아주식회사,스팅어,2018
2022-12-27,기아주식회사,스팅어,2019
2022-12-27,기아주식회사,스팅어,2018
2022-12-27,기아주식회사,스팅어,2018
2022-12-26,스카니아코리아(주),스카니아카고트럭,2019
2022-12-27,비엠더블유코리아(주),BMW 320d,2012
2022-12-27,기아주식회사,스팅어,2018
2022-12-27,현대자동차(주),그랜저(GRANDEUR),2019
2022-12-27,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Blue Motion,2015
2022-12-27,메르세데스벤츠코리아(주),Mercedes-Benz CLA250 4MATIC,2020
2022-12-26,(주)재규어랜드로버코리아,재규어 XJ 3.0D,2016
2022-12-27,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-27,한국지엠(주),올란도 2.0 LPG,2018
2022-12-26,테슬라코리아 유한회사,Model S 100D,2019
2022-12-27,현대자동차(주),팰리세이드(PALISADE),2023
2022-12-27,한국닛산(주),ALTIMA 2.5,2018
2022-12-27,한국닛산(주),ALTIMA 2.5,2017
2022-12-27,폭스바겐그룹코리아 주식회사,Arteon 2.0 TDI,2019
2022-12-29,CXP,엠에스모터스현금지급기관리차,2022
2022-12-27,(주)재규어랜드로버코리아,재규어 XE 20d,2017
2022-12-27,한국지엠(주),올란도 2.0 LPG,2014
2022-12-26,기아주식회사,니로 하이브리드,2018
2022-12-27,기아주식회사,K7,2016
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-27,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-26,(주)재규어랜드로버코리아,재규어 XF 20d,2018
2022-12-26,메르세데스벤츠코리아(주),Mercedes-Benz GLA250 4MATIC,2021
2022-12-26,기아주식회사,니로 하이브리드,2017
2022-12-26,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-26,한국지엠(주),올란도 2.0 LPG,2015
2022-12-26,비엠더블유코리아(주),BMW 520d,2017
2022-12-26,(주)볼보자동차코리아,볼보 S80T6,2015
2022-12-27,(주)재규어랜드로버코리아,재규어 XF 2.2D,2015
2022-12-26,현대자동차(주),제네시스(GENESIS),2016
2022-12-26,폭스바겐그룹코리아 주식회사,A6 3.0 TDI quattro,2013
2022-12-26,한불모터스(주),Peugeot 2008 1.6 BlueHDi,2017
2022-12-26,르노코리아자동차 주식회사,QM6,2017
2022-12-26,쌍용자동차(주),렉스턴,2021
2022-12-26,한불모터스(주),Peugeot 3008 1.6 Blue-HDi,2016
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-27,현대자동차(주),스타리아 라운지 (STARIA LOUNGE),2022
2022-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2022-12-26,기아주식회사,스팅어,2018
2022-12-26,기아주식회사,스팅어,2019
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2017
2022-12-26,한국지엠(주),올란도 2.0 LPG,2015
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-26,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-26,(주)재규어랜드로버코리아,재규어 F-PACE 20d,2018
2022-12-26,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2022-12-23,폭스바겐그룹코리아 주식회사,A6 45 TFSI quattro,2022
2022-12-26,비엠더블유코리아(주),BMW 530i M Sport Package Plus,2019
2022-12-23,르노코리아자동차 주식회사,QM3,2015
2022-12-26,한국토요타자동차(주),렉서스 RX450h,2022
2022-12-26,비엠더블유코리아(주),BMW Gran Turismo 30d xDrive,2016
2022-12-26,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020
2022-12-26,현대자동차(주),아이오닉6 (IONIQ6),2023
2022-12-26,한국지엠(주),올란도 2.0 LPG,2018
2022-12-26,쌍용자동차(주),토레스,2023
2022-12-23,현대자동차(주),코나 N(KONA N),2022
2022-12-23,쌍용자동차(주),토레스,2023
2022-12-23,쌍용자동차(주),토레스,2023
2022-12-23,폭스바겐그룹코리아 주식회사,A7 55 TFSI quattro,2021
2022-12-22,쌍용자동차(주),렉스턴,2021
2022-12-23,(주)재규어랜드로버코리아,레인지로버 이보크 2.0D,2016
2022-12-22,쌍용자동차(주),렉스턴,2022
2022-12-22,쌍용자동차(주),렉스턴,2021
2022-12-23,기아주식회사,K7,2017
2022-12-22,쌍용자동차(주),렉스턴,2021
2022-12-22,혼다코리아(주),ACCORD 1.5T,2020
2022-12-22,한국지엠(주),올란도 2.0 LPG,2015
2022-12-23,현대자동차(주),싼타페(SANTAFE),2013
2022-12-22,(주)재규어랜드로버코리아,레인지로버 벨라 D300,2018
2022-12-23,메르세데스벤츠코리아(주),E200 CGI,2011
2022-12-23,메르세데스벤츠코리아(주),E300,2015
2022-12-23,현대자동차(주),i40,2014
2022-12-23,현대자동차(주),팰리세이드(PALISADE),2023
2022-12-23,기아주식회사,스팅어,2018
2022-12-23,르노코리아자동차 주식회사,SM6,2016
2022-12-23,기아주식회사,스팅어,2018
2022-12-23,르노코리아자동차 주식회사,QM6,2022
2022-12-22,스텔란티스코리아주식회사,짚 레니게이드 1.3 FWD,2022
2022-12-22,현대자동차(주),그랜저(GRANDEUR),2018
2022-12-22,비엠더블유코리아(주),BMW 528i,2010
2022-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2022-12-22,스텔란티스코리아주식회사,DS7 CROSSBACK 1.2 PureTech,2022
2022-12-22,르노코리아자동차 주식회사,SM3,2011
2022-12-21,메르세데스벤츠코리아(주),Mercedes-Benz GLB250 4MATIC,2021
