,제작사,차명,모델년도,리콜개시일,계절,월별
0,혼다코리아(주),CBR1000RR-R,2021,2022-01-03,Winter,Jan
1,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI BMT,2016.0,2022-01-03,Winter,Jan
2,현대자동차(주),싼타페(SANTAFE),2014.0,2022-01-03,Winter,Jan
3,기아주식회사,쏘렌토,2021.0,2022-01-03,Winter,Jan
4,비엠더블유코리아(주),BMW iX xDrive40,2022.0,2022-01-03,Winter,Jan
5,현대자동차(주),쏘나타(SONATA),2020.0,2022-01-03,Winter,Jan
6,기아주식회사,K7,2016.0,2022-01-03,Winter,Jan
7,현대자동차(주),그랜저(GRANDEUR),2020.0,2022-01-03,Winter,Jan
8,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021.0,2022-01-03,Winter,Jan
9,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2015.0,2022-01-03,Winter,Jan
10,기아주식회사,K7,2016.0,2022-01-03,Winter,Jan
11,기아주식회사,K7,2016.0,2022-01-03,Winter,Jan
12,비엠더블유코리아(주),BMW 530i,2022.0,2022-01-03,Winter,Jan
13,기아주식회사,K7,2017.0,2022-01-03,Winter,Jan
14,포드세일즈서비스코리아(유),Mondeo 2.0,2015.0,2022-01-03,Winter,Jan
15,현대자동차(주),뉴-카운티,2014.0,2022-01-03,Winter,Jan
16,기아주식회사,K5,2014.0,2022-01-03,Winter,Jan
17,기아주식회사,쏘렌토,2022.0,2022-01-03,Winter,Jan
18,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021.0,2022-01-03,Winter,Jan
19,현대자동차(주),맥스크루즈 (MAXCRUZ),2017.0,2022-01-03,Winter,Jan
20,기아주식회사,카니발 리무진,2021.0,2022-01-03,Winter,Jan
21,현대자동차(주),쏘나타 하이브리드 (SONATA HYBRID),2020.0,2022-01-03,Winter,Jan
22,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
23,르노코리아자동차 주식회사,SM6,2016.0,2022-01-03,Winter,Jan
24,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
25,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
26,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
27,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
28,르노코리아자동차 주식회사,SM6,2017.0,2022-01-03,Winter,Jan
29,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
30,기아주식회사,쏘렌토,2015.0,2022-01-03,Winter,Jan
31,현대자동차(주),그랜저(GRANDEUR),2020.0,2022-01-03,Winter,Jan
32,르노코리아자동차 주식회사,SM6,2019.0,2022-01-03,Winter,Jan
33,메르세데스벤츠코리아(주),Mercedes-Benz GLE 450 4MATIC,2020.0,2022-01-03,Winter,Jan
34,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-03,Winter,Jan
35,메르세데스벤츠코리아(주),CLS400 d 4Matic,2019.0,2022-01-03,Winter,Jan
36,현대자동차(주),맥스크루즈 (MAXCRUZ),2017.0,2022-01-03,Winter,Jan
37,폭스바겐그룹코리아 주식회사,A6 45 TFSI,2021.0,2022-01-03,Winter,Jan
38,기아주식회사,봉고Ⅲ 1톤 EV,2021.0,2022-01-03,Winter,Jan
39,현대자동차(주),쏘나타 하이브리드 (SONATA HYBRID),2020.0,2022-01-03,Winter,Jan
40,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2017.0,2022-01-03,Winter,Jan
41,기아주식회사,K7,2016.0,2022-01-04,Winter,Jan
42,현대자동차(주),쏘나타(SONATA),2021.0,2022-01-04,Winter,Jan
43,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
44,기아주식회사,K7,2016.0,2022-01-04,Winter,Jan
45,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
46,기아주식회사,K3,2016.0,2022-01-04,Winter,Jan
47,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
48,기아주식회사,K7,2013.0,2022-01-04,Winter,Jan
49,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
50,현대자동차(주),싼타페(SANTAFE),2019.0,2022-01-04,Winter,Jan
51,기아주식회사,K7,2016.0,2022-01-04,Winter,Jan
52,현대자동차(주),투싼(TUCSON),2017.0,2022-01-04,Winter,Jan
53,기아주식회사,K7,2016.0,2022-01-04,Winter,Jan
54,현대자동차(주),맥스크루즈 (MAXCRUZ),2014.0,2022-01-04,Winter,Jan
55,현대자동차(주),G80,2019.0,2022-01-04,Winter,Jan
56,기아주식회사,쏘렌토,2021.0,2022-01-04,Winter,Jan
57,지엠대우오토앤테크놀로지(주),CHEVROLET EQUINOX FWD,2019.0,2022-01-04,Winter,Jan
58,기아주식회사,K7 하이브리드,2017.0,2022-01-04,Winter,Jan
59,기아주식회사,K7 하이브리드,2017.0,2022-01-04,Winter,Jan
60,기아주식회사,K7,2016.0,2022-01-04,Winter,Jan
61,(주)재규어랜드로버코리아,디스커버리 TD6,2017.0,2022-01-04,Winter,Jan
62,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
63,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
64,(주)재규어랜드로버코리아,재규어 XF 20d,2017.0,2022-01-04,Winter,Jan
65,(주)재규어랜드로버코리아,디스커버리 SD4,2018.0,2022-01-04,Winter,Jan
66,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-01-04,Winter,Jan
67,현대자동차(주),맥스크루즈 (MAXCRUZ),2016.0,2022-01-04,Winter,Jan
68,현대자동차(주),싼타페(SANTAFE),2014.0,2022-01-05,Winter,Jan
69,현대자동차(주),스타리아 (STARIA),2022.0,2022-01-05,Winter,Jan
70,메르세데스벤츠코리아(주),Mercedes-AMG GT43 4MATIC +,2021.0,2022-01-05,Winter,Jan
71,기아주식회사,K7,2017.0,2022-01-05,Winter,Jan
72,현대자동차(주),맥스크루즈 (MAXCRUZ),2016.0,2022-01-05,Winter,Jan
73,폭스바겐그룹코리아 주식회사,Polo 5 FL 1.4 TDI BMT,2014,2022-01-05,Winter,Jan
74,메르세데스벤츠코리아(주),S500 CGI 4Matic L,2013.0,2022-01-05,Winter,Jan
75,폭스바겐그룹코리아 주식회사,Golf 2.0 TDI BMT,2016.0,2022-01-05,Winter,Jan
76,현대자동차(주),쏘나타(SONATA),2014.0,2022-01-05,Winter,Jan
77,기아주식회사,스팅어,2019.0,2022-01-05,Winter,Jan
78,현대자동차(주),아이오닉5 (IONIQ5),2022.0,2022-01-05,Winter,Jan
79,르노코리아자동차 주식회사,MASTER,2020.0,2022-01-05,Winter,Jan
80,현대자동차(주),제네시스(GENESIS),2016.0,2022-01-05,Winter,Jan
81,메르세데스벤츠코리아(주),E300,2011.0,2022-01-05,Winter,Jan
82,현대자동차(주),맥스크루즈 (MAXCRUZ),2014.0,2022-01-05,Winter,Jan
83,폭스바겐그룹코리아 주식회사,A4 2.0 TDI,2014.0,2022-01-05,Winter,Jan
84,기아주식회사,모닝,2012.0,2022-01-05,Winter,Jan
85,기아주식회사,모닝,2012.0,2022-01-05,Winter,Jan
86,기아주식회사,모닝,2012.0,2022-01-05,Winter,Jan
87,기아주식회사,K7,2016.0,2022-01-05,Winter,Jan
88,기아주식회사,쏘렌토,2022.0,2022-01-05,Winter,Jan
89,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021.0,2022-01-05,Winter,Jan
90,기아주식회사,K7,2016.0,2022-01-05,Winter,Jan
91,기아주식회사,포르테 쿱,2010.0,2022-01-05,Winter,Jan
